Timestamp,Latitude,Longitude,Bearing,Altitude,Speed (km/h),Location Accuracy (m),Accelerometer X,Accelerometer Y,Accelerometer Z
2020/01/28 - 17:51:09,null,null,null,null,null,null,3.902298,8.385849,2.714737
2020/01/28 - 17:51:09,null,null,null,null,null,null,3.993744,8.577621,2.3675842
2020/01/28 - 17:51:10,null,null,null,null,null,null,4.1297455,8.353043,2.2730103
2020/01/28 - 17:51:10,null,null,null,null,null,null,4.2286224,8.452164,2.1468353
2020/01/28 - 17:51:10,null,null,null,null,null,null,4.3801727,8.212265,1.9701385
2020/01/28 - 17:51:10,null,null,null,null,null,null,4.2879944,8.359741,2.2270508
2020/01/28 - 17:51:10,null,null,null,null,null,null,4.4031525,8.302277,2.1348724
2020/01/28 - 17:51:11,null,null,null,null,null,null,4.3758698,8.551514,1.9086151
2020/01/28 - 17:51:11,null,null,null,null,null,null,4.259033,8.4787445,1.6708679
2020/01/28 - 17:51:11,null,null,null,null,null,null,4.259033,8.388245,1.6976776
2020/01/28 - 17:51:11,null,null,null,null,null,null,4.3320465,8.487595,1.8509216
2020/01/28 - 17:51:11,null,null,null,null,null,null,4.175232,8.442108,1.8116455
2020/01/28 - 17:51:12,null,null,null,null,null,null,4.329895,8.653519,1.9150696
2020/01/28 - 17:51:12,null,null,null,null,null,null,4.2676544,8.315689,1.8506775
2020/01/28 - 17:51:12,null,null,null,null,null,null,4.2279053,8.533325,1.9631958
2020/01/28 - 17:51:12,null,null,null,null,null,null,4.1840973,8.637711,1.9198608
2020/01/28 - 17:51:12,null,null,null,null,null,null,4.243469,8.489746,1.8913727
2020/01/28 - 17:51:13,null,null,null,null,null,null,4.2358093,8.466522,1.6093445
2020/01/28 - 17:51:13,null,null,null,null,null,null,4.1146545,8.624542,1.4427032
2020/01/28 - 17:51:13,null,null,null,null,null,null,4.1388397,8.770111,1.4295349
2020/01/28 - 17:51:13,null,null,null,null,null,null,4.136917,8.517517,1.4944153
2020/01/28 - 17:51:13,null,null,null,null,null,null,4.1615906,8.687744,1.3435822
2020/01/28 - 17:51:14,null,null,null,null,null,null,4.1232758,8.68895,1.1544342
2020/01/28 - 17:51:14,null,null,null,null,null,null,4.1259155,8.55368,1.1865234
2020/01/28 - 17:51:14,null,null,null,null,null,null,4.1393127,8.754303,1.2664948
2020/01/28 - 17:51:14,null,null,null,null,null,null,4.1931915,8.671951,1.3414307
2020/01/28 - 17:51:14,null,null,null,null,null,null,4.1936646,8.521347,1.4477386
2020/01/28 - 17:51:15,null,null,null,null,null,null,4.184082,8.626221,1.4364777
2020/01/28 - 17:51:15,null,null,null,null,null,null,4.226227,8.681046,1.6253815
2020/01/28 - 17:51:15,null,null,null,null,null,null,4.234375,8.441391,1.7798157
2020/01/28 - 17:51:15,null,null,null,null,null,null,4.212097,8.539551,1.6411896
2020/01/28 - 17:51:15,null,null,null,null,null,null,4.1737976,8.650635,1.782196
2020/01/28 - 17:51:16,null,null,null,null,null,null,4.1464996,8.43013,1.9598541
2020/01/28 - 17:51:16,null,null,null,null,null,null,4.120407,8.525421,1.9584198
2020/01/28 - 17:51:16,null,null,null,null,null,null,4.151535,8.507462,2.035019
2020/01/28 - 17:51:16,null,null,null,null,null,null,4.116577,8.479218,2.0094147
2020/01/28 - 17:51:16,null,null,null,null,null,null,4.11322,8.4787445,1.9296875
2020/01/28 - 17:51:17,null,null,null,null,null,null,4.081375,8.703308,1.9517059
2020/01/28 - 17:51:17,null,null,null,null,null,null,4.0006866,8.478973,2.0699768
2020/01/28 - 17:51:17,null,null,null,null,null,null,3.9789124,8.766998,1.8351135
2020/01/28 - 17:51:17,null,null,null,null,null,null,3.9994965,8.530457,1.8813171
2020/01/28 - 17:51:17,null,null,null,null,null,null,4.0188904,8.548401,1.8375092
2020/01/28 - 17:51:18,null,null,null,null,null,null,3.9891968,8.626694,1.8121338
2020/01/28 - 17:51:18,null,null,null,null,null,null,3.9841766,8.617126,1.7991943
2020/01/28 - 17:51:18,null,null,null,null,null,null,3.9413147,8.577148,1.8114014
2020/01/28 - 17:51:18,null,null,null,null,null,null,3.9420319,8.617355,1.9145966
2020/01/28 - 17:51:19,null,null,null,null,null,null,3.914978,8.7397,1.9500275
2020/01/28 - 17:51:19,null,null,null,null,null,null,3.8055725,8.584808,2.1319885
2020/01/28 - 17:51:19,null,null,null,null,null,null,3.8338165,8.749283,2.1489868
2020/01/28 - 17:51:19,null,null,null,null,null,null,3.8285522,8.540985,2.2289581
2020/01/28 - 17:51:19,null,null,null,null,null,null,3.7983856,8.58696,2.2318268
2020/01/28 - 17:51:20,null,null,null,null,null,null,3.7897644,8.580734,2.2394867
2020/01/28 - 17:51:20,null,null,null,null,null,null,3.7600708,8.637238,2.248108
2020/01/28 - 17:51:20,null,null,null,null,null,null,3.767746,8.643936,2.1667023
2020/01/28 - 17:51:20,null,null,null,null,null,null,3.8012543,8.671234,2.129837
2020/01/28 - 17:51:20,null,null,null,null,null,null,3.7665405,8.683685,2.042694
2020/01/28 - 17:51:20,null,null,null,null,null,null,3.8367004,8.517761,2.082199
2020/01/28 - 17:51:21,null,null,null,null,null,null,3.8017426,8.701401,1.9744568
2020/01/28 - 17:51:21,null,null,null,null,null,null,3.7322998,8.704269,1.8171539
2020/01/28 - 17:51:21,null,null,null,null,null,null,3.6317444,8.797165,2.1154785
2020/01/28 - 17:51:21,null,null,null,null,null,null,3.8999023,8.300125,2.714981
2020/01/28 - 17:51:21,null,null,null,null,null,null,4.2156982,7.9819336,2.9194489
2020/01/28 - 17:51:22,null,null,null,null,null,null,4.341873,8.061661,2.8586273
2020/01/28 - 17:51:22,null,null,null,null,null,null,5.037628,7.3889008,2.884964
2020/01/28 - 17:51:22,null,null,null,null,null,null,5.503525,7.3477173,3.1464233
2020/01/28 - 17:51:22,null,null,null,null,null,null,8.041626,4.9298096,4.2453613
2020/01/28 - 17:51:22,null,null,null,null,null,null,8.579605,4.8898315,2.979538
2020/01/28 - 17:51:23,null,null,null,null,null,null,8.091187,5.3914185,1.6011963
2020/01/28 - 17:51:23,null,null,null,null,null,null,6.8107605,5.8621216,1.2315369
2020/01/28 - 17:51:23,null,null,null,null,null,null,7.037506,6.655548,1.0627441
2020/01/28 - 17:51:23,null,null,null,null,null,null,7.0473175,6.0670624,0.797699
2020/01/28 - 17:51:24,null,null,null,null,null,null,8.081375,5.239151,0.6368103
2020/01/28 - 17:51:24,null,null,null,null,null,null,7.670532,5.697876,1.4951324
2020/01/28 - 17:51:24,null,null,null,null,null,null,8.044495,5.5853424,1.346695
2020/01/28 - 17:51:24,null,null,null,null,null,null,7.807953,5.626999,1.1834106
2020/01/28 - 17:51:24,null,null,null,null,null,null,7.7677307,5.7505493,0.90065
2020/01/28 - 17:51:25,null,null,null,null,null,null,7.730377,5.673218,0.7409668
2020/01/28 - 17:51:25,null,null,null,null,null,null,7.7286987,6.031143,0.971756
2020/01/28 - 17:51:25,null,null,null,null,null,null,7.7622223,5.891083,0.9159851
2020/01/28 - 17:51:25,null,null,null,null,null,null,7.8026886,5.7708893,0.8226013
2020/01/28 - 17:51:25,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.8026886,5.7708893,0.8226013
2020/01/28 - 17:51:25,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.6496887,5.855896,0.90400696
2020/01/28 - 17:51:26,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.859192,5.690689,0.7572479
2020/01/28 - 17:51:26,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.871872,5.7639465,0.7282715
2020/01/28 - 17:51:26,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.7579193,5.7031403,0.7601166
2020/01/28 - 17:51:26,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.7385254,5.7203827,0.8628235
2020/01/28 - 17:51:26,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.7540894,5.6169434,0.7974701
2020/01/28 - 17:51:26,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.134277,5.631073,0.81684875
2020/01/28 - 17:51:27,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.9518433,5.586548,0.79003906
2020/01/28 - 17:51:27,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.9417877,5.5779266,0.8702545
